file_name,package,minor,major,total,ownership,num_of_bugs
Direct16.java,org.apache.lucene.util.packed,0,1,2,0.5,0
PhraseQuery.java,org.apache.lucene.search,0,2,3,0.6,24
FreqProxFields.java,org.apache.lucene.index,0,2,3,0.7777777777777778,6
DocValuesProducer.java,org.apache.lucene.codecs,0,1,2,0.8333333333333334,0
NumericRangeQuery.java,org.apache.lucene.search,0,2,3,0.3333333333333333,3
CompressingTermVectorsWriter.java,org.apache.lucene.codecs.compressing,0,3,4,0.7777777777777778,0
IndexFileNames.java,org.apache.lucene.index,0,2,3,0.6,0
Filter.java,org.apache.lucene.search,0,0,1,1.0,5
SpanTermQuery.java,org.apache.lucene.search.spans,0,2,3,0.3333333333333333,9
NumericTokenStream.java,org.apache.lucene.analysis,0,2,3,0.5,0
Lucene50NormsFormat.java,org.apache.lucene.codecs.lucene50,0,1,2,0.75,1
BlockTreeTermsReader.java,org.apache.lucene.codecs.blocktree,0,4,5,0.42105263157894735,0
SpanMultiTermQueryWrapper.java,org.apache.lucene.search.spans,0,1,2,0.6666666666666666,0
StoredFieldsReader.java,org.apache.lucene.codecs,0,2,3,0.5,0
BufferedChecksum.java,org.apache.lucene.store,0,0,1,1.0,0
SegmentCommitInfo.java,org.apache.lucene.index,0,2,3,0.5,4
Field.java,org.apache.lucene.document,0,2,3,0.6666666666666666,1
SlowCompositeReaderWrapper.java,org.apache.lucene.index,0,3,4,0.5454545454545454,2
PackedTokenAttributeImpl.java,org.apache.lucene.analysis.tokenattributes,0,0,1,1.0,0
StatePair.java,org.apache.lucene.util.automaton,0,0,1,1.0,0
BufferedUpdatesStream.java,org.apache.lucene.index,0,4,5,0.36363636363636365,3
SimpleFSLockFactory.java,org.apache.lucene.store,0,2,3,0.42857142857142855,4
DelegatingAnalyzerWrapper.java,org.apache.lucene.analysis,0,0,1,1.0,0
MonotonicLongValues.java,org.apache.lucene.util.packed,0,0,1,1.0,0
Constants.java,org.apache.lucene.util,0,1,2,0.6,1
