"`id`","`url`","`owner_id`","`name`","`description`","`language`","`created_at`","`forked_from`","`deleted`","`updated_at`"
"2769","https://api.github.com/repos/apache/tapestry3","13369","tapestry3","Mirror of Apache Tapestry 3","Java","2009-03-27 15:41:52",,"0","2016-02-06 05:34:49"
"3963","https://api.github.com/repos/apache/wave","13369","wave","Mirror of Apache Wave","Java","2011-10-27 05:00:10",,"1","0000-00-00 00:00:00"
"4534","https://api.github.com/repos/apache/poi","13369","poi","Mirror of Apache POI","Java","2009-05-21 01:15:15",,"0","2016-02-06 05:34:49"
"4873","https://api.github.com/repos/apache/lucene-solr","13369","lucene-solr","Mirror of Apache Lucene + Solr","Java","2016-01-23 08:00:06",,"0","2016-02-06 05:34:49"
"7375","https://api.github.com/repos/apache/incubator-cordova-blackberry-webworks","13369","incubator-cordova-blackberry-webworks","Mirror of Apache Cordova blackberry-webworks","Java","2012-01-13 07:00:13",,"1","0000-00-00 00:00:00"
"7383","https://api.github.com/repos/apache/incubator-cordova-android","13369","incubator-cordova-android","Mirror of Apache Cordova Android","Java","2012-01-13 07:00:11",,"1","0000-00-00 00:00:00"
"8304","https://api.github.com/repos/apache/cassandra","13369","cassandra","Mirror of Apache Cassandra","Java","2009-05-21 02:10:09",,"0","2016-02-06 05:34:49"
"12713","https://api.github.com/repos/apache/hive","13369","hive","Mirror of Apache Hive","Java","2009-05-21 02:31:01",,"0","2016-02-06 05:34:49"
"13773","https://api.github.com/repos/apache/hbase","13369","hbase","Mirror of Apache HBase","Java","2014-05-23 07:00:07",,"0","2016-02-06 05:34:49"
"13802","https://api.github.com/repos/apache/hadoop-common","13369","hadoop-common","Mirror of Apache Hadoop common","Java","2014-10-21 07:00:09",,"0","2016-02-06 05:34:49"
"13864","https://api.github.com/repos/apache/struts2","13369","struts2","Mirror of Apache Struts 2","Java","2009-05-20 23:39:01",,"1","0000-00-00 00:00:00"
"13874","https://api.github.com/repos/apache/avro","13369","avro","Mirror of Apache Avro","Java","2009-05-21 02:48:37",,"0","2016-02-06 05:34:49"
"15138","https://api.github.com/repos/apache/sqoop","13369","sqoop","Mirror of Apache Sqoop","Java","2011-08-04 07:00:07",,"0","2016-02-06 05:34:49"
"18489","https://api.github.com/repos/apache/maven-plugins","13369","maven-plugins","Mirror of Apache Maven plugins","Java","2009-05-21 00:33:19",,"0","2016-02-06 05:34:49"
"28544","https://api.github.com/repos/apache/amber","13369","amber","Mirror of Apache Amber (incubating)","Java","2011-02-14 07:00:30",,"1","0000-00-00 00:00:00"
"36130","https://api.github.com/repos/apache/pig","13369","pig","Mirror of Apache Pig","Java","2009-05-21 01:10:43",,"0","2016-02-06 05:35:38"
"36727","https://api.github.com/repos/apache/activemq","13369","activemq","Mirror of Apache ActiveMQ","Java","2009-05-21 01:33:45",,"0","2016-02-06 05:35:38"
"36730","https://api.github.com/repos/apache/openjpa","13369","openjpa","Mirror of Apache OpenJPA","Java","2009-05-21 01:13:25",,"0","2016-02-06 05:35:38"
"36731","https://api.github.com/repos/apache/nutch","13369","nutch","Mirror of Apache Nutch","Java","2009-05-21 01:17:48",,"0","2016-02-06 05:35:38"
"39068","https://api.github.com/repos/apache/hadoop","13369","hadoop","Mirror of Apache Hadoop Core","Java","2009-03-27 14:41:53",,"1","0000-00-00 00:00:00"
"43256","https://api.github.com/repos/apache/ambari","13369","ambari","Mirror of Apache Ambari","Java","2011-09-23 07:00:08",,"0","2016-02-06 05:35:38"
"43726","https://api.github.com/repos/apache/mahout","13369","mahout","Mirror of Apache Mahout","Java","2014-05-23 07:00:07",,"0","2016-02-06 05:35:38"
"45297","https://api.github.com/repos/apache/kafka","13369","kafka","Mirror of Apache Kafka","Java","2011-08-15 18:06:16",,"0","2016-02-06 05:35:38"
"47945","https://api.github.com/repos/apache/wicket","13369","wicket","Mirror of Apache Wicket","Java","2009-05-21 01:51:51",,"0","2016-02-06 05:35:38"
"53170","https://api.github.com/repos/apache/flume","13369","flume","Mirror of Apache Flume","Java","2011-08-12 18:20:14",,"0","2016-02-06 05:35:38"
"55805","https://api.github.com/repos/apache/commons-math","13369","commons-math","Mirror of Apache Commons Math","Java","2014-10-08 07:00:06",,"0","2016-02-06 05:35:38"
"56537","https://api.github.com/repos/apache/hadoop-hdfs","13369","hadoop-hdfs","Mirror of Apache Hadoop HDFS","Java","2014-10-21 07:00:09",,"0","2016-02-06 05:35:38"
"56860","https://api.github.com/repos/apache/roller","13369","roller","Mirror of Apache Roller","Java","2009-05-21 02:42:21",,"0","2016-02-06 05:35:38"
"57510","https://api.github.com/repos/apache/oozie","13369","oozie","Mirror of Apache Oozie","Java","2011-09-14 07:00:10",,"0","2016-02-06 05:35:38"
"62238","https://api.github.com/repos/apache/camel","13369","camel","Mirror of Apache Camel","Java","2009-05-21 00:25:36",,"0","2016-02-06 05:35:38"
"63593","https://api.github.com/repos/apache/jackrabbit","13369","jackrabbit","Mirror of Apache Jackrabbit","Java","2009-05-21 01:43:24",,"0","2016-02-06 05:35:38"
"65426","https://api.github.com/repos/apache/geronimo-specs","13369","geronimo-specs","Mirror of Apache Geronimo specs","Java","2009-07-01 08:00:27",,"0","2016-02-06 05:35:38"
"75275","https://api.github.com/repos/apache/shiro","13369","shiro","Mirror of Apache Shiro (incubating)","Java","2009-08-29 08:00:17",,"0","2016-02-06 05:35:38"
"76847","https://api.github.com/repos/apache/incubator-deltaspike","13369","incubator-deltaspike","Mirror of Apache DeltaSpike","Java","2012-01-13 07:00:10",,"1","0000-00-00 00:00:00"
"80653","https://api.github.com/repos/apache/ant","13369","ant","Mirror of Apache Ant","Java","2014-05-28 07:00:08",,"0","2016-02-06 05:35:39"
"81441","https://api.github.com/repos/apache/hadoop-mapreduce","13369","hadoop-mapreduce","Mirror of Apache Hadoop MapReduce","Java","2014-10-21 07:00:09",,"0","2016-02-06 05:35:39"
"87806","https://api.github.com/repos/apache/zookeeper","13369","zookeeper","Mirror of Apache Hadoop ZooKeeper","Java","2009-03-27 15:41:56",,"0","2016-02-06 05:35:39"
"93464","https://api.github.com/repos/apache/jena-tdb","13369","jena-tdb","Mirror of Apache Jena - TDB (Incubating)","Java","2011-11-15 07:00:16",,"1","0000-00-00 00:00:00"
"113263","https://api.github.com/repos/apache/httpclient","13369","httpclient","Mirror of Apache HttpClient","Java","2009-05-21 01:43:06",,"0","2016-02-06 05:35:39"
"116476","https://api.github.com/repos/apache/chukwa","13369","chukwa","Mirror of Apache Chukwa","Java","2012-04-07 07:00:24",,"0","2016-02-06 05:35:39"
"122703","https://api.github.com/repos/apache/tomcat70","13369","tomcat70","Mirror of Apache Tomcat 7.0.x","Java","2010-08-12 03:32:41",,"0","2016-02-06 05:35:39"
